stdId,stdUsername,course_id,totalActivities,totalAddedAnnotations,totalAnnotationsFollowed,totalAnnotationsReplied,totalNoteTypeAnnotations,totalQuestionTypeAnnotations,totalExternalResourceTypeAnnotations,totalPdfAnnotations,totalVideoAnnotations,highlightToolOnMaterial,pinpointToolOnMaterial,drawToolOnMaterial,noteTypeCommentsOnMaterial,questionTypeCommentsOnMaterial,externalResourceTypeCommentsOnMaterial,totalLikesOnAnnotations,likesOnNoteTypeAnnotations,likesOnQuestionTypeAnnotations,likesOnExternalResourceTypeAnnotations,likesOnRepliesOfAnnotations,totalDislikesOnAnnotations,dislikesOnNoteTypeAnnotations,dislikesOnQuestionTypeAnnotations,dislikesOnExternalResourceTypeAnnotations,dislikesOnRepliesOfAnnotations,totalAccesses,courseAccesses,topicAccesses,channelAccesses,pdfAccess,videoAccess,totalDashboardAccesses,courseAccesses,topicAccesses,channelAccesses,materialAccesses,totalUserMentionedRepliedActivities,mentioned,replied,videosStarted,videosCompleted,videosPlayed,videosPauses,timeSpentOnVideos,pdfStarted,pdfCompleted,slidesViewed,slidesNotUnderstood,totalAddedTags,totalTagViewed,courseTagviewed,topicTagviewed,channelTagviewed,materialTagviewed,totalKnowledgeGraphAccesses,courseKnowledgeGraphAccesses,materialKnowledgeGraphAccesses,slideKnowledgeGraphAccesses,totalKnowledgeGraphConcept/WikiViewed,totalKnowledgeGraphConceptViewed,totalKnowledgeGraphWikiArticleViewed,totalCourseKnowledgeGraphConcept/WikiViewed,totalCourseKnowledgeGraphConceptViewed,totalCourseKnowledgeGraphWikiArticleViewed,totalMaterialKnowledgeGraphConcept/WikiViewed,totalMaterialKnowledgeGraphWikiArticleViewed,totalMaterialKnowledgeGraphConceptViewed,mainConceptViewed,relatedConceptViewed,categoryViewed,totalSlideKnowledgeGraphConcept/WikiViewed,totalSlideKnowledgeGraphWikiArticleViewed,totalSlideKnowledgeGraphConceptViewed,totalRecommendedConcept/WikiViewed,totalRecommendedConceptViewed,totalRecommendedWikiArticleViewed,totalRecommendedConceptViewedVisualExplanation,totalRecommendedConceptViewedTextualExplanation,totalRecommendedMaterialViewed,recommendedArticleViewed,recommendedVideoViewed,totalSlideKnowledgeGraphMarked,totalSlideKnowledgeGraphMarkedUnderstood,totalSlideKnowledgeGraphMarkedNotUnderstood,totalSlideKnowledgeGraphMarkedAsNew,totalRecommendedConceptsMarked,recommendedConceptsMarkedUnderstood,recommendedConceptsMarkedNotUnderstood,recommendedConceptsMarkedMarkedAsNew,totalRecommendedMaterialMarkedHelpful,totalRecommendedMaterialMarkedNotHelpful,recommendedArticleMarkedHelpful,recommendedArticleMarkedNotHelpful,recommendedVideoMarkedHelpful,recommendedVideoMarkedNotHelpful
1,69334fe370d0bb27267dafde,69334f0b70d0bb27267da84c,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,69334fe370d0bb27267dafde,692e1e0360484ffc22837654,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,96,34,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,692ce7d5a48ffa5334c0d51f,69233d168fbf44912c2a91ca,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,28,13,10,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6930846a601a053a681cf7d2,69233d168fbf44912c2a91ca,21,3,0,0,1,2,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,91,43,24,14,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8,2,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6930846a601a053a681cf7d2,692e1e0360484ffc22837654,155,3,0,0,1,2,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,109,49,31,18,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9,2,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,69341e455df31a19a4fe1628,692e1e0360484ffc22837654,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,69341e455df31a19a4fe1628,69334f0b70d0bb27267da84c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
